Brand,Smartphone,Price,Color,RAM,ROM,Primary camera,Secondary camera,Battery,Display size,Display resolution,Processor,Processor core,Product_url
realme,"realme C25s (Watery Blue, 128 GB)  (4 GB RAM)","₹11,999",Watery Blue,4 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Processor Type,https://www.flipkart.com/realme-c25s-watery-blue-128-gb/p/itm3546940d1cedb?pid=MOBG39HUJTFZJXJ8&lid=LSTMOBG39HUJTFZJXJ8CAQXYD&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG39HUJTFZJXJ8.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C21 (Cross Blue, 32 GB)  (3 GB RAM)","₹8,999",Cross Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Processor Type,https://www.flipkart.com/realme-c21-cross-blue-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489MNZGABVJ&lid=LSTMOBGF489MNZGABVJ28ZM4B&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBGF489MNZGABVJ.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C21 (Cross Black, 32 GB)  (3 GB RAM)","₹8,999",Cross Black,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Processor Type,https://www.flipkart.com/realme-c21-cross-black-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489EUA5PEBK&lid=LSTMOBGF489EUA5PEBKOSO80O&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBGF489EUA5PEBK.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C21 (Cross Black, 64 GB)  (4 GB RAM)","₹9,999",Cross Black,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Processor Type,https://www.flipkart.com/realme-c21-cross-black-64-gb/p/itmf4062d3f37c1a?pid=MOBGF489G9HRWFZ9&lid=LSTMOBGF489G9HRWFZ9BYFZCR&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBGF489G9HRWFZ9.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C21 (Cross Blue, 64 GB)  (4 GB RAM)","₹9,999",Cross Blue,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Processor Type,https://www.flipkart.com/realme-c21-cross-blue-64-gb/p/itmf4062d3f37c1a?pid=MOBGF4895YRNAHFZ&lid=LSTMOBGF4895YRNAHFZ3XABXU&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBGF4895YRNAHFZ.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme Narzo 30 5G (Racing Blue, 128 GB)  (6 GB RAM)","₹16,999",Racing Blue,6 GB,128 GB,48MP + 2MP + 2MP,16MP Front Camera,Battery & Power Features,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Dimensity 700 (MT6833),Processor Type,https://www.flipkart.com/realme-narzo-30-5g-racing-blue-128-gb/p/itm56837fcb0d6f3?pid=MOBG3W3GCZ6FN5WJ&lid=LSTMOBG3W3GCZ6FN5WJRS25R2&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG3W3GCZ6FN5WJ.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme Narzo 30 5G (Racing Silver, 128 GB)  (6 GB RAM)","₹16,999",Racing Silver,6 GB,128 GB,48MP + 2MP + 2MP,16MP Front Camera,Battery & Power Features,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Dimensity 700 (MT6833),Processor Type,https://www.flipkart.com/realme-narzo-30-5g-racing-silver-128-gb/p/itm56837fcb0d6f3?pid=MOBG3W3GWVTBTQZQ&lid=LSTMOBG3W3GWVTBTQZQGONJ0G&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG3W3GWVTBTQZQ.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme Narzo 30 (Racing Blue, 64 GB)  (6 GB RAM)","₹14,499",Racing Blue,6 GB,64 GB,48MP + 2MP + 2MP,16MP Front Camera,Battery & Power Features,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Helio G95,Processor Type,https://www.flipkart.com/realme-narzo-30-racing-blue-64-gb/p/itm957dacbc8270c?pid=MOBG5D9D7GK3VR5T&lid=LSTMOBG5D9D7GK3VR5TABK618&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5D9D7GK3VR5T.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C11 2021 (Cool Blue, 64 GB)  (4 GB RAM)","₹8,799",Cool Blue,4 GB,64 GB,8MP Rear Camera,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,Octa-core,Processor Type,https://www.flipkart.com/realme-c11-2021-cool-blue-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDBHPYMT5B&lid=LSTMOBG5BCDBHPYMT5BR54QOY&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_20&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5BCDBHPYMT5B.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme Narzo 30 (Racing Blue, 64 GB)  (4 GB RAM)","₹13,499",Racing Blue,4 GB,64 GB,48MP + 2MP + 2MP,16MP Front Camera,Battery & Power Features,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Helio G95,Processor Type,https://www.flipkart.com/realme-narzo-30-racing-blue-64-gb/p/itm957dacbc8270c?pid=MOBG3W3GWGZYP5TE&lid=LSTMOBG3W3GWGZYP5TEROFQKU&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG3W3GWGZYP5TE.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme Narzo 30 (Racing Silver, 64 GB)  (6 GB RAM)","₹14,499",Racing Silver,6 GB,64 GB,48MP + 2MP + 2MP,16MP Front Camera,Battery & Power Features,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Helio G95,Processor Type,https://www.flipkart.com/realme-narzo-30-racing-silver-64-gb/p/itm957dacbc8270c?pid=MOBG5D9DNMYDP8WP&lid=LSTMOBG5D9DNMYDP8WPXIMSN4&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5D9DNMYDP8WP.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme 8i (Space Purple, 128 GB)  (6 GB RAM)","₹15,999",Space Purple,6 GB,128 GB,50MP + 2MP + 2MP,16MP Front Camera,Dimensions,16.76 cm (6.6 inch),2412 x 1080 Pixels,MediaTek Helio G96,Processor Type,https://www.flipkart.com/realme-8i-space-purple-128-gb/p/itm7ab6edcb3b2a4?pid=MOBG63YXFYCU2RZZ&lid=LSTMOBG63YXFYCU2RZZSCRPAO&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG63YXFYCU2RZZ.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
